
0578: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0579: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0580: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0581: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:640 CE:1
0582: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0583: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0584: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:768 CE:1
0585: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0586: Addr:2 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0587: Addr:2 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0588: Addr:2 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0589: Addr:2 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0590: Addr:2 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0591: Addr:2 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
0592: Addr:2 RW:1 DOUT:00000000000000000000000000000000 DIN:00C00000000000940000000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:576 CE:1
